,Query,Sql pattern new
33,What was our smallest expense This year?,"select account, sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense','Other Expense') and transaction_date BETWEEN date(current_date, 'start of year') AND date(current_date) order by sum(debit) limit 1"
34,How much revenue came through jeff's jalopy in month of august,"select sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and strftime(""%m"", transaction_date) = 8 and T1.customers = ""jeff's jalopy"""
35,When was 55 twin lane first payment?,"select transaction_date from master_txn_table where transaction_type = 'payment' and customers = ""55 twin lane"" order by transaction_date limit 1"
36,"In the Last 30 days, how many installation did bill's windsurf shop sell?","select sum(quantity) from master_txn_table where customers = ""bill's windsurf shop"" and product_service = ""installation"" and transaction_date BETWEEN date( current_date, ""-30 days"") AND date( current_date) "
37,How much did diego rodriguez spend between <date> and <date>?,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where customers = ""diego rodriguez"" and transaction_date BETWEEN date(current_date) AND date(current_date) and account_type in ('Expense','Other Expense')"
38,give me the list of accounts where my revenue increased by more than 50% in this month as compared to last month,"select T1.account, revenue_this_month, revenue_last_month from(select account, sum(credit) as revenue_this_month from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and strftime(""%m"", transaction_date) = strftime(""%m"", current_timestamp) group by account) as T1 join (select account, sum(credit) as revenue_last_month from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and strftime(""%m"", transaction_date) = strftime(""%m"", current_timestamp) - 1 group by account) as T2 where revenue_this_month >= revenue_last_month * 1.5"
39,Total sales for each product,"select product_service, sum(credit) from master_txn_table group by product_service;"
40,what was our top 3 selling products and their sales in q1,"select product_service, sum(quantity) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income', 'Other Income') and strftime(""%m"", transaction_date) in (""01"", ""02"", ""03"") group by product_service order by sum(quantity) desc limit 3;"
41,What are my expenses for the This month?,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where transaction_date BETWEEN date( current_date, ""start of month"") AND date( current_date)  and account_type in ('Expense','Other Expense')"
42,How many Adobe subscriptions do we have?,
43,Who are my outstanding debtors or creditors?,"select customer_name, balance from customers where balance != 0 union select vendor_name, balance from vendors where balance != 0"
44,Display all of cool cars's transactions,"select distinct transaction_id from master_txn_table where customers = ""cool cars"""
45,What was the mean bill amy's bird sanctuary received from tania's nursery?,"select avg(credit) from master_txn_table where customers = ""amy's bird sanctuary"" and transaction_type = 'bill' and vendor = ""tania's nursery"""
46,Who has the most money outstanding?,select customer_name from customers order by balance desc limit 1
47,Which customer has AR > 90 days?,"select distinct customers from master_txn_table where AR_paid = 'unpaid' and date(transaction_date,'+90 days') <= current_timestamp"
48,What are my expenses for the This month to date?,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where transaction_date BETWEEN date( current_date, ""start of month"") AND date( current_date)  and account_type in ('Expense','Other Expense')"
49,What were my expenses in the MTD?,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where transaction_date BETWEEN date(current_date) AND date(current_date)  and account_type in ('Expense','Other Expense')"
50,Show me total sales by month,"select sum(amount) from master_txn_table where transaction_type = ""Invoice"" group by strftime(""%m"", transaction_date)"
51,How much money have we paid to sales of product income YTD?,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense', 'Other Expense') and instr(account,""sales of product income"") and strftime(""%Y"", transaction_date)  = strftime(""%Y"", current_date)"
52,show me expenses for design income this week,"select sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where instr(account,'medical & health') and strftime(""%W"", transaction_date) = strftime(""%W"", current_timestamp) and strftime(""%Y"", transaction_date) = strftime(""%Y"", current_timestamp) and account_type in ('Expense','Other Expense')"
53,"In the since <date>, how many rocks did jeff's jalopy sell?","select sum(quantity) from master_txn_table where customers = ""jeff's jalopy"" and product_service = ""rocks"" and transaction_date BETWEEN date(current_date) AND date(current_date) "
54,What are amy's bird sanctuary recurring product purchases over past 6 months?,"select product_service from ( select product_service, count(distinct strftime(""%m"", transaction_date)) as n_months from master_txn_table where customers = ""amy's bird sanctuary"" and strftime(""%m"", transaction_date) >= strftime(""%m"", current_date) - 6 group by product_service ) where n_months >= 6"
55,What were our total payroll expenses This year?,"select sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where instr(account,'payroll') and account_type in ('Expense','Other Expense')"
56,"How much cash did we collect yesterday, by Salesperson?","select misc.salesperson, sum(credit) from master_txn_table where account in ('Income','Other Income') and transaction_date = date(current_date, ""-1 days"")"
57,"Since This quarter, how many invoices have been late?",select count(distinct transaction_id) from master_txn_table where transaction_type = 'invoice' and due_date < current_date and transaction_date BETWEEN date(current_date) AND date(current_date)  and open_balance > 0
58,How many invoices are past due since since <date>?,select count(distinct transaction_id) from master_txn_table where transaction_type = 'invoice' and due_date < current_date and transaction_date BETWEEN date(current_date) AND date(current_date)  and open_balance > 0
59,Did we receive payment from shara barnett partnership last year?,"select transaction_id from master_txn_table where transaction_type = 'payment' and customers = ""shara barnett"" and strftime(""%Y"", transaction_date) = strftime(""%Y"", current_date) - 1"
60,Who are my outstanding creditors?,"select vendor_name, balance from vendors where balance != 0"
61,What our monthly spend on met life dental,"select sum(debit) from master_txn_table where vendor = ""met life dental"" group by strftime(""%m"", transaction_date);"
62,What our monthly spend on tania's nursery,"select sum(debit) from master_txn_table where vendor = ""tania's nursery"" group by strftime(""%m"", transaction_date);"
63,How many checks did we receive yesterday?,"select count(distinct transaction_id) from master_txn_table where transaction_type = 'check' and transaction_date= date(current_date, ""-1 days"")"
64,How much has weiskopf consulting paid us Last month?,"select sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where customers = ""weiskopf consulting"" and transaction_date BETWEEN date( current_date, ""start of month"", ""-1 months"") AND date( current_date, ""start of month"", ""-1 days"")  and account_type in ('Income','Other Income')"
65,What payment method was used to pay invoice #101010,"select payment_method from master_txn_table where transaction_type = 'invoice' and transaction_id = ""101010"""
66,how much did we spend with pg&e on commission,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense', 'Other Expense') and instr(account,""commission"") and vendor = ""pg&e"""
67,What are my total sales by installation?,"select sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and product_service = ""installation"""
68,When was the last time we billed for gardening,"select transaction_date from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and product_service = ""gardening"" order by transaction_date desc limit 1"
69,What is the average spend per month on account receivable (a/r) in the last 12 months?,"select sum(debit)/12 from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where instr(account,""account receivable (a/r)"") and strftime(""%m"", transaction_date) = strftime(""%m"", current_timestamp)-1 and account_type in ('Expense','Other Expense')"
70,What are my account receivable Last month?,"select sum(debit) from master_txn_table where account = 'account receivable' and transaction_date BETWEEN date( current_date, ""start of month"", ""-1 months"") AND date( current_date, ""start of month"", ""-1 days"") "
71,How much has geeta kalapatapu been paying us every month,"select strftime(""%m"", transaction_date), sum(credit) from master_txn_table where customers = ""geeta kalapatapu"" group by strftime(""%m"", transaction_date);"
72,"YTD, how many invoices have been paid?",
73,How many invoice did Salesperson X generate yesterday?,"select count(distinct transaction_id) from master_txn_table where transaction_type = ""invoice"" and transaction_date= date(current_date, ""-1 days"") and misc.salesperson = ""X"""
74,What is my average revenue for Customer A in the last 5 years?,"select sum(credit)/5 from master_txn_table where customers = ""A"" and strftime(""%Y"", transaction_date) >= strftime(""%Y"", current_timestamp)-4;"
75,How much has shara barnett paid us year to date?,"select sum(credit) from master_txn_table where customers = ""shara barnett"" and strftime(""%Y"", transaction_date) = strftime(""%Y"", current_timestamp)"
76,Which customer has AR > 90 days?,"select distinct customers from master_txn_table where AR_paid = 'unpaid' and date(transaction_date,'+90 days') <= current_timestamp"
77,How much money did we make today?,"select sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and transaction_date date( current_date)"
78,How much did we spend on computer repair This year?,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense', 'Other Expense') and instr(account,""computer repair"") and transaction_date BETWEEN date(current_date, 'start of year') AND date(current_date)"
79,What is my lowest sales for paulsen medical supplies in the august?,"select min(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and customers = ""paulsen medical supplies"" and transaction_date BETWEEN date(current_date) AND date(current_date) "
80,How many invoices were paid yesterday?,
81,"today, what are my AR?",select sum(debit) from master_txn_table where account = 'account receivable' and transaction_date date( current_date)
82,Display all transactions involving dylan sollfrank,"select distinct transaction_id from master_txn_table where customers = ""dylan sollfrank"""
83,What is my average revenue for Customer A in the last 5 years?,"select sum(credit)/5 from master_txn_table where customers = ""A"" and strftime(""%Y"", transaction_date) >= strftime(""%Y"", current_timestamp)-4;"
84,How much total income did we receive from credit card transactions yesterday?,"select sum(credit) from master_txn_table as T1 join payment_method as T2 on T1.payment_method = T2.payment_method where account in ('Income','Other Income') and transaction_date = date(current_date, ""-1 days"") and T2.credit_card = ""yes"" "
85,What is my last invoice from video games by dan?,"select distinct transaction_id, amount, transaction_date from master_txn_table where customers = ""video games by dan"" order by transaction_date limit 1"
86,What are my transactions for the year?,"select distinct transaction_id, amount from master_txn_table where strftime(""%Y"", transaction_date) = strftime(""%Y"", current_date)"
87,Number of invoices created for board of equalization payable in This week?,"select count(distinct transaction_id) from master_txn_table where transaction_type = 'invoice' and instr(account,""board of equalization payable"") and transaction_date BETWEEN date( current_date, ""weekday 0"", ""-7 days"") AND date( current_date) "
88,How many diego rodriguez invoices are still outstanding?,"select count(distinct transaction_id) from master_txn_table where customers = ""diego rodriguez"" and open_balance > 0 and transaction_type = 'invoice'"
89,What are my total project costs for Project XYZ?,select sum(debit) from master_txn_table where misc.project = 'XYZ'
90,What was our total income from sprinkler pipes in q2,"select sum(credit) from master_txn_table where product_service = ""sprinkler pipes"" and strftime(""%m"", transaction_date) in (""04"", ""05"", ""06"");"
91,How much did we pay cal telephone the This year to date?,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense', 'Other Expense') and vendor = ""cal telephone"" and transaction_date BETWEEN date(current_date, 'start of year') AND date(current_date)"
92,what customers are buying less than last month,"select T1.customers, revenue_this_month, revenue_last_month from (select customers, sum(credit) as revenue_this_month from master_txn_table   as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and strftime(""%m"", transaction_date) = strftime(""%m"", current_timestamp) group by customers) as T1 join (select customers, sum(credit) as revenue_last_month from master_txn_table   as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and strftime(""%m"", transaction_date) = strftime(""%m"", current_timestamp) - 1 group by customers) as T2 on T1.customers = T2.customers where revenue_this_month < revenue_last_month "
93,How many invoices have we sent to pye's cake?,"select count(distinct transaction_id) from master_txn_table where customers = ""pye's cake"" and transaction_type = 'invoice'"
94,How much money have we spent on sprinklers and drip systems this month?,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense', 'Other Expense') and instr(account,""sprinklers and drip systems"") and strftime(""%m"", transaction_date)  = strftime(""%m"", current_date)"
95,Display all of weiskopf consulting's transactions,"select distinct transaction_id from master_txn_table where customers = ""weiskopf consulting"""
96,How many bill did Salesperson X generate yesterday?,"select count(distinct transaction_id) from master_txn_table where transaction_type = ""bill"" and transaction_date= date(current_date, ""-1 days"") and misc.salesperson = ""X"""
97,"Last fiscal year, what was our largest expense?","select account, sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense','Other Expense') and transaction_date BETWEEN date(current_date, '-3 months', 'start of year','-1 years', '+3 months') AND date(current_date, '-3 months', 'start of year','-1 years', '+3 months', '+1 years', '-1 days'); order by sum(debit) desc limit 1"
98,When was the last time we billed for sod,"select transaction_date from master_txn_table where product_service = ""sod"" order by transaction_date desc limit 1;"
99,What is my total sales for mark cho in the Last year?,"select sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and customers = ""mark cho"" and transaction_date BETWEEN date(current_date,  'start of year', '-1 days', 'start of year') AND date(current_date,  'start of year', '-1 days')"
100,Which customer has AR > 90 days?,"select distinct customers from master_txn_table where AR_paid = 'unpaid' and date(transaction_date,'+90 days') <= current_timestamp"
101,Who has the most money oustanding?,"select customers, sum(open_balance) as outstanding from ( select distinct customers, open_balance from master_txn_table ) group by customers order by outstanding desc limit 1 "
102,What are my account receivable This fiscal year to date?,"select sum(debit) from master_txn_table where account = 'account receivable' and transaction_date BETWEEN date(current_date, '-3 months', 'start of year', '+3 months') AND date(current_date, '-3 months', 'start of year','+1 year', '+3 months', '-1 day')"
103,Total sales for each product,"select product_service, sum(credit) from master_txn_table group by product_service;"
104,How many design did rondonuwu fruit and vegi sell august?,"select sum(quantity) from master_txn_table where customers = ""rondonuwu fruit and vegi"" and product_service = ""design"" and transaction_date BETWEEN date(current_date) AND date(current_date) "
105,How many installation did weiskopf consulting sell This quarter to date?,"select sum(quantity) from master_txn_table where customers = ""weiskopf consulting"" and product_service = ""installation"" and transaction_date BETWEEN date(current_date) AND date(current_date) "
106,which product did most of our income come from yesterday?,"select product_service, sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and date(transaction_date) = date(current_date) - 1 group by product_service order by sum(credit) desc limit 1"
107,How many rago travel agency invoices are still oustanding?,"select count(*) from master_txn_table where customers = ""rago travel agency"" and Open_balance > 0"
108,"This fiscal year to date, what was our smallest expense?","select account, sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense','Other Expense') and transaction_date BETWEEN date(current_date, '-3 months', 'start of year', '+3 months') AND date(current_date, '-3 months', 'start of year','+1 year', '+3 months', '-1 day') order by sum(debit) desc limit 1"
109,How many checks were received yesterday?,"select count(distinct transaction_id) from master_txn_table where transaction_type = 'check' and transaction_date= date(current_date, ""-1 days"")"
110,Display the total number of transactions with barnett design,"select count(distinct transaction_id) from master_txn_table where customers = ""barnett design"""
111,"How many times did we collect ""Bond Fees"" this month?","select count(*) from master_txn_table where account in ('Income','Other Income') and transaction_date = date(current_date, ""-1 days"") and product_service = 'Bond fees'"
112,Show all transactions with Mr B,"select distinct transaction_type, transaction_id from master_txn_table where customers = 'B' or vendor = 'B'"
113,Show how many transactions you've had with sonnenschein family store,"select count(distinct transaction_id) from master_txn_table where customers = ""sonnenschein family store"""
114,What are my transactions for the year?,"select distinct transaction_id, amount from master_txn_table where strftime(""%Y"", transaction_date) = strftime(""%Y"", current_date)"
115,What were my expenses in the YTD?,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where transaction_date BETWEEN date(current_date) AND date(current_date)  and account_type in ('Expense','Other Expense')"
116,When did 55 twin lane first pay?,"select transaction_date from master_txn_table where transaction_type = 'payment' and customers = ""55 twin lane"" order by transaction_date limit 1"
117,What are my AR this month/last month?,"select strftime(""%m"", transaction_date), sum(amount) from master_txn_table where account = ""Accounts Receivable (A/R)"" and strftime(""%m"", transaction_date) >= strftime(""%m"", current_timestamp) - 1 group by strftime(""%m"", transaction_date)"
118,"Last fiscal year, what are my AR?","select sum(debit) from master_txn_table where account = 'account receivable' and transaction_date BETWEEN date(current_date, '-3 months', 'start of year','-1 years', '+3 months') AND date(current_date, '-3 months', 'start of year','-1 years', '+3 months', '+1 years', '-1 days');"
119,How much we received from board of equalization payable?,"select sum(credit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income', 'Other Income') and instr(account,""board of equalization payable"")"
120,How much credit does 0969 ocean view road have on <date>?,"select sum(open_balance) from (select distinct transaction_id, open_balance from master_txn_table where customers = ""0969 ocean view road"" and transaction_date BETWEEN date(current_date) AND date(current_date)  and account = 'account receivable')"
121,"In the This fiscal year to date, how many trimming did jeff's jalopies sell?","select sum(quantity) from master_txn_table where customers = ""jeff's jalopies"" and product_service = ""trimming"" and transaction_date BETWEEN date(current_date, '-3 months', 'start of year', '+3 months') AND date(current_date, '-3 months', 'start of year','+1 year', '+3 months', '-1 day')"
122,"Which salesperson generated the most ""Bond Fees"" last month?","select misc.salesperson, sum(credit) from master_txn_table where account in ('Income','Other Income') and strftime(""%m"",transaction_date) = strftime(""%m"",current_date) - 1 and misc.salesperson = X and product_service = 'Bond fees' group by misc.salesperson order by sum(credit) desc limit 1"
123,How many dylan sollfrank invoices haven't been paid yet?,"select count(distinct transaction_id) from master_txn_table where customers = ""dylan sollfrank"" and open_balance > 0 and transaction_type = 'invoice'"
124,Give me list of invoices which are due in next 7 days,"select transaction_id from master_txn_table where due_date <= date(current_timestamp,'+7 days') and AR_Paid = 'unpaid'"
125,How much has 0969 ocean view road paid us since <date>?,"select sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where customers = ""0969 ocean view road"" and transaction_date BETWEEN date(current_date) AND date(current_date)  and account_type in ('Income','Other Income')"
126,What was the max invoice amount for uncategorized asset?,"select max(credit) from master_txn_table where transaction_type = 'invoice' and instr(account,""uncategorized asset"")"
127,"Since This week, how many invoices have been past due?","select count(distinct transaction_id) from master_txn_table where transaction_type = 'invoice' and due_date < current_date and transaction_date BETWEEN date( current_date, ""weekday 0"", ""-7 days"") AND date( current_date)  and open_balance > 0"
128,How much credit does bill's windsurf shop have This month?,"select sum(open_balance) from (select distinct transaction_id, open_balance from master_txn_table where customers = ""bill's windsurf shop"" and transaction_date BETWEEN date( current_date, ""start of month"") AND date( current_date)  and account = 'account receivable')"
129,How many invoices were paid This year?,
130,Number of invoices created for fee in This month to date?,"select count(distinct transaction_id) from master_txn_table where transaction_type = 'invoice' and instr(account,""fee"") and transaction_date BETWEEN date( current_date, ""start of month"") AND date( current_date) "
131,What was the average bill sonnenschein family store received from cigna health care?,"select avg(credit) from master_txn_table where customers = ""sonnenschein family store"" and transaction_type = 'bill' and vendor = ""cigna health care"""
132,What is the balance due from sonnenschein family store?,"select balance from Customers where customer_name = ""sonnenschein family store"""
133,How much did video game by dan spend on worker compensation in July?,"select sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where T1.customers = ""video game by dan"" and instr(account,""worker compensation"") and strftime(""%m"", transaction_date) = 7 and account_type in ('Expense','Other Expense')"
134,How many checks did we receive yesterday?,"select count(distinct transaction_id) from master_txn_table where transaction_type = 'check' and transaction_date= date(current_date, ""-1 days"")"
135,What was the average invoice amount for rocks?,"select avg(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and transaction_type = 'invoice' and product_service = ""rocks"""
136,How many invoices have we sent to customer dylan sollfrank?,"select count(distinct transaction_id) from master_txn_table where customers = ""dylan sollfrank"" and transaction_type = 'invoice'"
137,What are my AR this month/last month?,"select strftime(""%m"", transaction_date), sum(amount) from master_txn_table where account = ""Accounts Receivable (A/R)"" and strftime(""%m"", transaction_date) >= strftime(""%m"", current_timestamp) - 1 group by strftime(""%m"", transaction_date)"
138,How many invoices have we sent to customer kookies by kathy?,"select count(distinct transaction_id) from master_txn_table where customers = ""kookies by kathy"" and transaction_type = 'invoice'"
139,How much did video games by dan spend on installation in July?,"select sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where T1.customers = ""video games by dan"" and instr(account,""installation"") and strftime(""%m"", transaction_date) = 7 and account_type in ('Expense','Other Expense')"
140,Who are my outstanding debtors or creditors?,"select customer_name, balance from customers where balance != 0 union select vendor_name, balance from vendors where balance != 0"
141,What's the profit for the aug?,"select sum(credit - debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income','Expense','Other Expense') and strftime(""%m"", transaction_date) = 8"
142,When did customer jeff's jalopy last pay? ,"select distinct transaction_id, amount, transaction_date from master_txn_table where customers = ""jeff's jalopy"" and transaction_type = 'payment' order by transaction_date desc limit 1"
143,How much money have we spent on equipment repair this month?,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense', 'Other Expense') and instr(account,""equipment repair"") and strftime(""%m"", transaction_date)  = strftime(""%m"", current_date)"
144,What are my expenses for the This quarter to date?,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where transaction_date BETWEEN date(current_date) AND date(current_date)  and account_type in ('Expense','Other Expense')"
145,When was kookies by kathy last payment?,"select transaction_date from master_txn_table where customers = ""kookies by kathy"" and transaction_type = 'payment' order by transaction_date desc limit 1"
146,How much has mark cho paid us year to date?,"select sum(credit) from master_txn_table where customers = ""mark cho"" and strftime(""%Y"", transaction_date) = strftime(""%Y"", current_timestamp)"
147,What was the first invoice for dukes basketball camp?,"select transaction_id from master_txn_table where customers = ""dukes basketball camp"" and transaction_type = 'invoice' order by transaction_date limit 1"
