,Query,Sql pattern new
19,"YTD, what are my AR?",select sum(debit) from master_txn_table where account = 'account receivable' and transaction_date BETWEEN date(current_date) AND date(current_date) 
20,"This fiscal year to date, how many invoices were paid?",
21,Show all of bill's windsurf shop's transactions,"select distinct transaction_id from master_txn_table where customers = ""bill's windsurf shop"""
22,How much has gevelber photography been paying us every month,"select strftime(""%m"", transaction_date), sum(credit) from master_txn_table where customers = ""gevelber photography"" group by strftime(""%m"", transaction_date);"
23,show me expenses for license this week,"select sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where instr(account,'medical & health') and strftime(""%W"", transaction_date) = strftime(""%W"", current_timestamp) and strftime(""%Y"", transaction_date) = strftime(""%Y"", current_timestamp) and account_type in ('Expense','Other Expense')"
24,How much did 55 twin lane spend This fiscal year?,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where customers = ""55 twin lane"" and transaction_date BETWEEN date(current_date, '-3 months', 'start of year', '+3 months') AND date(current_date) and account_type in ('Expense','Other Expense')"
25,When was the first time we billed for pest control,"select transaction_date from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and product_service = ""pest control"" order by transaction_date asc limit 1"
26,How much has wedding planning by whitney been paying us every month,"select strftime(""%m"", transaction_date), sum(credit) from master_txn_table where customers = ""wedding planning by whitney"" group by strftime(""%m"", transaction_date);"
27,What was the most recent invoice for rago travel agency?,"select transaction_id from master_txn_table where transaction_type = 'invoice' and customers = ""rago travel agency"" order by transaction_date desc limit 1"
28,How much money did we make Last 7 days?,"select sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and transaction_date BETWEEN date( current_date, ""-7 days"") AND date( current_date) "
29,How many bill did Salesperson X generate yesterday?,"select count(distinct transaction_id) from master_txn_table where transaction_type = ""bill"" and transaction_date= date(current_date, ""-1 days"") and misc.salesperson = ""X"""
30,What is my last invoice from sushi by katsuyuki?,"select distinct transaction_id, amount, transaction_date from master_txn_table where customers = ""sushi by katsuyuki"" order by transaction_date limit 1"
31,What was my expense by products in may?,"select product_service, sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where strftime(""%m"", transaction_date) = 5 and account_type in ('Expense','Other Expense') group by product_service"
32,What are my transactions for the year?,"select distinct transaction_id, amount from master_txn_table where strftime(""%Y"", transaction_date) = strftime(""%Y"", current_date)"
33,What is my average invoice from rago travel agency?,"select avg(amount) from (select distinct transaction_id, amount from master_txn_table where customers = ""rago travel agency"")"
34,What payment method was used to pay invoice #101010,"select payment_method from master_txn_table where transaction_type = 'invoice' and transaction_id = ""101010"""
35,"which unapplied cash payment income category  barnett design am paying the most for 
in month of july ","select sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where customers = ""barnett design"" and instr(account,""unapplied cash payment income"") and strftime(""%m"", transaction_date) = 7 and account_type in ('Expense','Other Expense')"
36,"This quarter, what are my AR?",select sum(debit) from master_txn_table where account = 'account receivable' and transaction_date BETWEEN date(current_date) AND date(current_date) 
37,Did we receive payment from bill's windsurf shop partnership last year?,"select transaction_id from master_txn_table where transaction_type = 'payment' and customers = ""bill's windsurf shop"" and strftime(""%Y"", transaction_date) = strftime(""%Y"", current_date) - 1"
38,What was our total spend for hall properties in the Last quarter?,"select sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where vendor = ""hall properties"" and account_type in ('Expense','Other Expense') and transaction_date BETWEEN date(current_date) AND date(current_date) "
39,What are my transactions for the year?,"select distinct transaction_id, amount from master_txn_table where strftime(""%Y"", transaction_date) = strftime(""%Y"", current_date)"
40,What are my total sales by refund?,"select sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and product_service = ""refund"""
41,What are my expenses for the past year?,"select sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where strftime(""%Y"", transaction_date) = strftime(""%Y"", current_date) - 1 and account_type in ('Expense','Other Expense')"
42,How much did we spend on tony rondonuwu in today?,"select sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where vendor = ""tony rondonuwu"" and account_type in ('Expense','Other Expense') and transaction_date date( current_date)"
43,What are my account payable MTD?,select sum(credit) from master_txn_table where account = 'account payable' and transaction_date BETWEEN date(current_date) AND date(current_date) 
44,What payment method was used to pay invoice #101010,"select payment_method from master_txn_table where transaction_type = 'invoice' and transaction_id = ""101010"""
45,Give me list of invoices which are due in next 7 days,"select transaction_id from master_txn_table where due_date <= date(current_timestamp,'+7 days') and AR_Paid = 'unpaid'"
46,I need a list of equipment purchased for computer by jenni,"select distinct product_service from master_txn_table where transaction_type = 'purchase order' and vendor = ""computer by jenni"""
47,"august, what was our largest expense?","select account, sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense','Other Expense') and transaction_date BETWEEN date(current_date) AND date(current_date)  order by sum(debit) desc limit 1"
48,What was the most recent invoice for bill's windsurf shop?,"select transaction_id from master_txn_table where transaction_type = 'invoice' and customers = ""bill's windsurf shop"" order by transaction_date desc limit 1"
49,"As of This quarter to date, how many invoices for gevelber photography remained unpaid?","select count(distinct transaction_id) from master_txn_table where customers = ""gevelber photography"" and transaction_type = 'invoice' and open_balance >0 and transaction_date BETWEEN date(current_date) AND date(current_date) "
50,"This year, what are my account receivable?","select sum(debit) from master_txn_table where account = 'account receivable' and transaction_date BETWEEN date(current_date, 'start of year') AND date(current_date)"
51,How much money does 55 twin lane still owe?,"select billing_city, sum(credit) from master_txn_table join customers on customers = customer_name where account in ('Income','Other Income') and strftime(""%Y"", transaction_date) = strftime(""%Y"", current_date)  group by billing_city"
52,How much has sushi by katsuyuki been paying us each month?,"select strftime(""%m"", transaction_date), sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where customers = ""sushi by katsuyuki"" and account_type in ('Income','Other Income') group by strftime(""%m"", transaction_date)"
53,What payment method was used to pay sales receipt #101010,"select payment_method from master_txn_table where transaction_type = 'sales receipt' and transaction_id = ""101010"""
54,When did bill's windsurf shop first pay?,"select transaction_date from master_txn_table where transaction_type = 'payment' and customers = ""bill's windsurf shop"" order by transaction_date limit 1"
55,How much money have we spent on landscaping service this month?,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense', 'Other Expense') and instr(account,""landscaping service"") and strftime(""%m"", transaction_date)  = strftime(""%m"", current_date)"
56,What was our smallest expense This month to date?,"select account, sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense','Other Expense') and transaction_date BETWEEN date( current_date, ""start of month"") AND date( current_date)  order by sum(debit) limit 1"
57,Display all transactions involving geeta kalapatapu,"select distinct transaction_id from master_txn_table where customers = ""geeta kalapatapu"""
58,What is my lowest revenue for kate whelan in the MTD?,"select min(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and customers = ""kate whelan"" and transaction_date BETWEEN date(current_date) AND date(current_date) "
59,Give me list of invoices which are due in next 7 days,"select transaction_id from master_txn_table where due_date <= date(current_timestamp,'+7 days') and AR_Paid = 'unpaid'"
60,what customers are buying less than last month,"select T1.customers, revenue_this_month, revenue_last_month from (select customers, sum(credit) as revenue_this_month from master_txn_table   as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and strftime(""%m"", transaction_date) = strftime(""%m"", current_timestamp) group by customers) as T1 join (select customers, sum(credit) as revenue_last_month from master_txn_table   as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and strftime(""%m"", transaction_date) = strftime(""%m"", current_timestamp) - 1 group by customers) as T2 on T1.customers = T2.customers where revenue_this_month < revenue_last_month "
61,What was our total income from cool car in since <date>?,"select sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where customers = ""cool car"" and strftime(""%m"", transaction_date) = strftime(""%m"", current_date) - 1 and account_type in ('Income','Other Income')"
62,How much has 55 twin lane been paying us every month,"select strftime(""%m"", transaction_date), sum(credit) from master_txn_table where customers = ""55 twin lane"" group by strftime(""%m"", transaction_date);"
63,When was wedding planning by whitney first payment?,"select transaction_date from master_txn_table where transaction_type = 'payment' and customers = ""wedding planning by whitney"" order by transaction_date limit 1"
64,"This week to date, how many invoices have been paid?",
65,red rock diner has received how many invoices?,"select count(distinct transaction_id) from master_txn_table where customers = ""red rock diner"" and transaction_type = 'invoice'"
66,When was the first time travis waldron paid you?,"select transaction_date from master_txn_table where transaction_type = 'payment' and customers = ""travis waldron"" order by transaction_date limit 1"
67,What are my transactions for the year?,"select distinct transaction_id, amount from master_txn_table where strftime(""%Y"", transaction_date) = strftime(""%Y"", current_date)"
68,How much balance mark cho have available in checking account?,"select balance from chart_of_accounts where customers = ""mark cho"" and account_name = 'checking'"
69,Show all of dylan sollfrank's transactions,"select distinct transaction_id from master_txn_table where customers = ""dylan sollfrank"""
70,"Which salesperson generated the most ""Bond Fees"" last month?","select misc.salesperson, sum(credit) from master_txn_table where account in ('Income','Other Income') and strftime(""%m"",transaction_date) = strftime(""%m"",current_date) - 1 and misc.salesperson = X and product_service = 'Bond fees' group by misc.salesperson order by sum(credit) desc limit 1"
71,Number of invoices created for equipment rental in Last 7 days?,"select count(distinct transaction_id) from master_txn_table where transaction_type = 'invoice' and instr(account,""equipment rental"") and transaction_date BETWEEN date( current_date, ""-7 days"") AND date( current_date) "
72,What's the last journal entry that rondonuwu fruit and vegi recorded?,"select * from journal_entry where customer_name = ""rondonuwu fruit and vegi"" order by transaction_date desc limit 1"
73,How many invoices were paid yesterday?,
74,"which dues & subscriptions category  kate whelan am paying the most for 
in month of july ","select sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where customers = ""kate whelan"" and instr(account,""dues & subscriptions"") and strftime(""%m"", transaction_date) = 7 and account_type in ('Expense','Other Expense')"
75,What are my AP This year?,"select sum(credit) from master_txn_table where account = 'account payable' and transaction_date BETWEEN date(current_date, 'start of year') AND date(current_date)"
76,How much we received from account receivable (a/r)?,"select sum(credit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income', 'Other Income') and instr(account,""account receivable (a/r)"")"
77,How many invoices have we sent to shara barnett?,"select count(distinct transaction_id) from master_txn_table where customers = ""shara barnett"" and transaction_type = 'invoice'"
78,How many invoices are past due since (date)?,select count(distinct transaction_id) from master_txn_table where current_date > due_date and transaction_type = 'invoice'
79,How many Adobe subscriptions do we have?,
80,"today, how much did we pay robertson & associates?","select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense', 'Other Expense') and vendor = ""robertson & associates"" and transaction_date date( current_date)"
81,How much money did we make Last year?,"select sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and transaction_date BETWEEN date(current_date,  'start of year', '-1 days', 'start of year') AND date(current_date,  'start of year', '-1 days')"
82,How much did we spend on miscellaneous Last month?,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense', 'Other Expense') and instr(account,""miscellaneous"") and transaction_date BETWEEN date( current_date, ""start of month"", ""-1 months"") AND date( current_date, ""start of month"", ""-1 days"") "
83,what are sales by location this year,"select billing_city, sum(credit) from master_txn_table as T1 inner join customers as T2 on T1.customers = T2.customer_name where account in ('Income','Other Income') and strftime(""%Y"", transaction_date) = strftime(""%Y"", current_date)  group by billing_city"
84,What acount had our biggest expense yesterday?,"select account, sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name  where account_type in ('Expense','Other Expense') and date(transaction_date) = date(current_date) - 1 group by account order by sum(debit) desc limit 1"
85,"Last year, what was our smallest expense?","select account, sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense','Other Expense') and transaction_date BETWEEN date(current_date,  'start of year', '-1 days', 'start of year') AND date(current_date,  'start of year', '-1 days') order by sum(debit) desc limit 1"
86,What was the mean invoice amount for loan payable in This fiscal year?,"select avg(credit) from master_txn_table where transaction_type = 'invoice' and instr(account,""loan payable"") and transaction_date BETWEEN date(current_date, '-3 months', 'start of year', '+3 months') AND date(current_date)"
87,Number of invoices created for computer repairs in This month?,"select count(distinct transaction_id) from master_txn_table where transaction_type = 'invoice' and instr(account,""computer repairs"") and transaction_date BETWEEN date( current_date, ""start of month"") AND date( current_date) "
88,When was the first time we billed for retained earnings?,"select transaction_date from master_txn_table where transaction_type = 'bill' and instr(account,""retained earnings"") order by transaction_date limit 1"
89,When was the first time cool cars paid you?,"select transaction_date from master_txn_table where transaction_type = 'payment' and customers = ""cool cars"" order by transaction_date limit 1"
90,How much did barnett design spend MTD?,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where customers = ""barnett design"" and transaction_date BETWEEN date(current_date) AND date(current_date)  and account_type in ('Expense','Other Expense')"
91,What are my account payable This fiscal year to date?,"select sum(credit) from master_txn_table where account = 'account payable' and transaction_date BETWEEN date(current_date, '-3 months', 'start of year', '+3 months') AND date(current_date, '-3 months', 'start of year','+1 year', '+3 months', '-1 day')"
92,How many invoices are still oustanding for customer paulsen medical supplies as of (date)?,"select count(distinct transaction_id) from master_txn_table where customers = ""paulsen medical supplies"" and transaction_type = 'invoice' and AR_paid = 'unpaid'"
93,What was our total income from freeman sporting good in today?,"select sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where customers = ""freeman sporting good"" and strftime(""%m"", transaction_date) = strftime(""%m"", current_date) - 1 and account_type in ('Income','Other Income')"
94,What's the profit for the aug?,"select sum(credit - debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income','Expense','Other Expense') and strftime(""%m"", transaction_date) = 8"
95,How many checks did we receive yesterday?,"select count(distinct transaction_id) from master_txn_table where transaction_type = 'check' and transaction_date= date(current_date, ""-1 days"")"
96,"How much cash did we collect yesterday, by Salesperson?","select misc.salesperson, sum(credit) from master_txn_table where account in ('Income','Other Income') and transaction_date = date(current_date, ""-1 days"")"
97,Who are my outstanding creditors?,"select vendor_name, balance from vendors where balance != 0"
98,When was the last time pye's cakes paid you?,"select transaction_date from master_txn_table where customers = ""pye's cakes"" and transaction_type = 'payment' order by transaction_date desc limit 1"
99,"This quarter to date, what was our largest expense?","select account, sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense','Other Expense') and transaction_date BETWEEN date(current_date) AND date(current_date)  order by sum(debit) desc limit 1"
100,How many barnett design invoices haven't been paid yet?,"select count(distinct transaction_id) from master_txn_table where customers = ""barnett design"" and open_balance > 0 and transaction_type = 'invoice'"
101,How many credit card transactions occurred yesterday?,"select count(distinct transaction_id) from master_txn_table as T1 join payment_method as T2 on T1.payment_method = T2.payment_method where T2.credit_card = ""yes"" and T1.transaction_date = date(current_date, ""-1 days"")"
102,Give me list of invoices which are due in next 7 days,"select transaction_id from master_txn_table where due_date <= date(current_timestamp,'+7 days') and AR_Paid = 'unpaid'"
103,How many invoices have we sent to 0969 ocean view road?,"select count(distinct transaction_id) from master_txn_table where customers = ""0969 ocean view road"" and transaction_type = 'invoice'"
104,How many checks were received yesterday?,"select count(distinct transaction_id) from master_txn_table where transaction_type = 'check' and transaction_date= date(current_date, ""-1 days"")"
105,What is the balance due from jeff's jalopies?,"select balance from Customers where customer_name = ""jeff's jalopies"""
106,What is the balance due from 0969 ocean view road?,"select balance from Customers where customer_name = ""0969 ocean view road"""
107,"This week to date, what are my AP?","select sum(credit) from master_txn_table where account = 'account payable' and transaction_date BETWEEN date( current_date, ""weekday 0"", ""-7 days"") AND date( current_date) "
108,How much credit does geeta kalapatapu have Last 30 days?,"select sum(open_balance) from (select distinct transaction_id, open_balance from master_txn_table where customers = ""geeta kalapatapu"" and transaction_date BETWEEN date( current_date, ""-30 days"") AND date( current_date)  and account = 'account receivable')"
109,How much money did we make This fiscal year to date?,"select sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and transaction_date BETWEEN date(current_date, '-3 months', 'start of year', '+3 months') AND date(current_date, '-3 months', 'start of year','+1 year', '+3 months', '-1 day')"
110,What are bill's windsurf shop recurring product purchases over past 6 months?,"select product_service from ( select product_service, count(distinct strftime(""%m"", transaction_date)) as n_months from master_txn_table where customers = ""bill's windsurf shop"" and strftime(""%m"", transaction_date) >= strftime(""%m"", current_date) - 6 group by product_service ) where n_months >= 6"
111,What are my total sales by design?,"select sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and product_service = ""design"""
112,How many invoices were paid yesterday?,
113,How many invoices have we sent to cool cars?,"select count(distinct transaction_id) from master_txn_table where customers = ""cool cars"" and transaction_type = 'invoice'"
114,How much money have we spent on job expenses this month?,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense', 'Other Expense') and instr(account,""job expenses"") and strftime(""%m"", transaction_date)  = strftime(""%m"", current_date)"
115,What was the highest invoice amount for fountain and garden lighting in This quarter to date?,"select max(credit) from master_txn_table where transaction_type = 'invoice' and instr(account,""fountain and garden lighting"") and transaction_date BETWEEN date(current_date) AND date(current_date) "
116,What was my expense by products in may?,"select product_service, sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where strftime(""%m"", transaction_date) = 5 and account_type in ('Expense','Other Expense') group by product_service"
117,What was my expense by products in may?,"select product_service, sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where strftime(""%m"", transaction_date) = 5 and account_type in ('Expense','Other Expense') group by product_service"
118,Who are my outstanding debtors?,"select customer_name, balance from customers where balance != 0"
119,When did jeff's jalopy first pay?,"select transaction_date from master_txn_table where transaction_type = 'payment' and customers = ""jeff's jalopy"" order by transaction_date limit 1"
120,How often do we bill trimming for weiskopf consulting?,"select sum(quantity) from master_txn_table where customers = ""weiskopf consulting"" and product_service = ""trimming"""
121,How many shara barnett invoices are still oustanding?,"select count(*) from master_txn_table where customers = ""shara barnett"" and Open_balance > 0"
122,How much credit does customer dylan sollfrank have month to date/year to date,"select balance from customers where customer_name = ""dylan sollfrank"""
123,What was my total sales for barnett design during last month?,"select sum(credit) from master_txn_table where customers = ""barnett design"" and strftime(""%m"", transaction_date) = strftime(""%m"", current_timestamp)-1;"
124,"What was the total amount collected in ""Bond Fees"" yesterday?","select sum(credit) from master_txn_table where account in ('Income','Other Income') and transaction_date = date(current_date, ""-1 days"") and product_service = 'Bond fees'"
125,"In the Last quarter, how many maintenance did rondonuwu fruit and vegi sell?","select sum(quantity) from master_txn_table where customers = ""rondonuwu fruit and vegi"" and product_service = ""maintenance"" and transaction_date BETWEEN date(current_date) AND date(current_date) "
126,Display all of diego rodriguez's transactions,"select distinct transaction_id from master_txn_table where customers = ""diego rodriguez"""
127,What's the total number of invoices we've issued to geeta kalapatapu?,"select count(distinct transaction_id) from master_txn_table where customers = ""geeta kalapatapu"" and transaction_type = 'invoice'"
128,I need a list of equipment purchased for brosnahan insurance agency,"select distinct product_service from master_txn_table where transaction_type = 'purchase order' and vendor = ""brosnahan insurance agency"""
129,What was the mean bill wedding planning by whitney received from lee advertising?,"select avg(credit) from master_txn_table where customers = ""wedding planning by whitney"" and transaction_type = 'bill' and vendor = ""lee advertising"""
130,What are my expenses for the Last quarter?,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where transaction_date BETWEEN date(current_date) AND date(current_date)  and account_type in ('Expense','Other Expense')"
131,When was the last time we billed for pump,"select transaction_date from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and product_service = ""pump"" order by transaction_date desc limit 1"
132,Who are my outstanding debtors or creditors?,"select customer_name, balance from customers where balance != 0 union select vendor_name, balance from vendors where balance != 0"
133,How many invoices have we sent to video game by dan?,"select count(distinct transaction_id) from master_txn_table where customers = ""video game by dan"" and transaction_type = 'invoice'"
134,"As of This quarter, how many invoices for sushi by katsuyuki were still unpaid?","select count(distinct transaction_id) from master_txn_table where customers = ""sushi by katsuyuki"" and transaction_type = 'invoice' and open_balance >0 and transaction_date BETWEEN date(current_date) AND date(current_date) "
135,How much revenue came through mark cho in month of august,"select sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and strftime(""%m"", transaction_date) = 8 and T1.customers = ""mark cho"""
136,"This month, how much did we pay squeaky kleen car wash?","select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense', 'Other Expense') and vendor = ""squeaky kleen car wash"" and transaction_date BETWEEN date( current_date, ""start of month"") AND date( current_date) "
137,"How much cash did we collect yesterday, by Salesperson?","select misc.salesperson, sum(credit) from master_txn_table where account in ('Income','Other Income') and transaction_date = date(current_date, ""-1 days"")"
138,What was my expense by products in may?,"select product_service, sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where strftime(""%m"", transaction_date) = 5 and account_type in ('Expense','Other Expense') group by product_service"
139,"What was the total amount collected in ""Bond Fees"" yesterday?","select sum(credit) from master_txn_table where account in ('Income','Other Income') and transaction_date = date(current_date, ""-1 days"") and product_service = 'Bond fees'"
140,How much revenue came through mark cho last month?,"select sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where customers = ""mark cho"" and strftime(""%m"", transaction_date) = strftime(""%m"", current_date) - 1 and account_type in ('Income','Other Income')"
141,What was the lowest invoice amount for barnett design?,"select T1.customers, revenue_this_month, revenue_last_month from (select customers, sum(credit) as revenue_this_month from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where T2.account_type in ('Income','Other Income') and strftime(""%m"", T1.transaction_date) = strftime(""%m"", current_timestamp) group by customers) as T1 join (select customers, sum(credit) as revenue_last_month from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and strftime(""%m"", transaction_date) = strftime(""%m"", current_timestamp) - 1 group by customers) as T2 on T1.customers = T2.customers where revenue_this_month < revenue_last_month"
142,What was our smallest expense today?,"select account, sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense','Other Expense') and transaction_date date( current_date) order by sum(debit) desc limit 1"
143,When was the last time we billed for installation,"select transaction_date from master_txn_table where product_service = ""installation"" order by transaction_date desc limit 1;"
144,How many invoices are still oustanding for customer cool car as of (date)?,"select count(distinct transaction_id) from master_txn_table where customers = ""cool car"" and transaction_type = 'invoice' and AR_paid = 'unpaid'"
145,What were our total payroll expenses august?,"select sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where instr(account,'payroll') and account_type in ('Expense','Other Expense')"
